host_identity_verified,bedrooms,neighbourhood_cleansed,calculated_host_listings_count_shared_rooms,host_total_listings_count,neighbourhood_group_cleansed,has_availability,calculated_host_listings_count_private_rooms,calculated_host_listings_count_entire_homes,maximum_nights_avg_ntm,maximum_nights,accommodates,host_is_superhost,availability_365,minimum_nights_avg_ntm,price,instant_bookable,bathrooms
t,,Williamsburg,0,1.0,Brooklyn,t,0,1,180.0,180,2,f,123,30.0,98.0,f,1.0
f,2.0,Harlem,0,1.0,Manhattan,t,0,1,1125.0,1125,4,f,0,30.0,100.0,f,1.0
t,1.0,Fort Greene,0,3.0,Brooklyn,t,2,0,31.0,31,2,t,132,2.0,65.0,t,1.5
t,5.0,Ridgewood,0,5.0,Queens,t,1,5,730.0,730,16,t,365,30.0,395.0,f,2.5
f,1.0,Mott Haven,0,1.0,Bronx,t,1,0,40.0,40,1,f,83,30.0,60.0,f,1.0
t,1.0,Morningside Heights,0,0.0,Manhattan,t,1,0,730.0,730,2,f,341,31.0,75.0,f,1.0
t,1.0,Park Slope,0,1.0,Brooklyn,t,0,1,200.0,200,2,f,145,30.0,150.0,f,1.0
t,1.0,Prospect Heights,0,0.0,Brooklyn,t,3,0,1125.0,1125,2,f,257,3.0,150.0,f,1.0
t,1.0,Williamsburg,0,2.0,Brooklyn,t,2,0,90.0,90,1,t,339,30.0,81.0,f,1.0
t,1.0,Bedford-Stuyvesant,0,0.0,Brooklyn,t,4,0,365.0,365,3,t,211,30.0,90.0,f,2.0
t,1.0,Gowanus,0,3.0,Brooklyn,t,2,1,180.0,180,4,t,310,4.0,151.0,f,1.0
t,1.0,Upper East Side,0,2.0,Manhattan,t,2,0,31.0,31,1,f,0,14.0,130.0,f,1.0
t,1.0,Jamaica,0,5.0,Queens,t,5,0,365.0,365,2,f,365,30.0,65.0,f,1.0
t,2.0,Ditmars Steinway,0,1.0,Queens,t,0,1,1125.0,1125,4,t,164,8.4,140.0,f,1.0
t,2.0,Ridgewood,0,5.0,Queens,t,1,5,730.0,730,7,t,365,30.0,186.0,f,1.0
t,1.0,Harlem,0,1.0,Manhattan,t,1,0,60.0,60,2,f,365,30.0,200.0,f,1.0
t,1.0,Park Slope,0,0.0,Brooklyn,t,3,0,1125.0,365,2,f,338,2.0,80.0,f,2.0
t,1.0,Jamaica,0,5.0,Queens,f,5,0,365.0,365,2,f,0,30.0,65.0,f,1.0
t,1.0,East Harlem,0,1.0,Manhattan,t,1,0,1125.0,21,2,t,270,5.0,100.0,t,1.0
t,1.0,Fort Greene,0,1.0,Brooklyn,t,1,0,18.0,18,1,f,5,3.0,81.0,t,1.0
t,1.0,Harlem,0,5.0,Manhattan,t,2,0,30.0,30,2,f,50,3.0,76.0,f,1.0
f,1.0,Ditmars Steinway,0,13.0,Queens,t,0,1,29.0,29,2,t,325,3.0,149.0,f,1.0
t,1.0,Brooklyn Heights,0,1.0,Brooklyn,t,0,1,90.0,90,3,f,13,3.0,162.0,f,1.0
t,1.0,Hell's Kitchen,0,1.0,Manhattan,t,0,1,365.0,365,4,t,0,3.0,250.0,f,1.0
t,1.0,Flatiron District,0,1.0,Manhattan,t,0,1,7.0,7,2,t,226,2.0,295.0,f,1.0
t,1.0,East Harlem,0,2.0,Manhattan,t,0,2,1125.0,365,2,t,278,3.0,160.0,f,1.0
t,1.0,Harlem,0,2.0,Manhattan,t,2,0,1125.0,27,2,t,185,2.0,52.0,f,1.5
f,2.0,Windsor Terrace,0,1.0,Brooklyn,t,1,0,30.0,30,4,f,306,2.0,139.0,f,1.0
t,1.0,Lower East Side,0,1.0,Manhattan,t,0,1,90.0,90,2,f,337,30.0,150.0,f,1.0
t,3.0,Ridgewood,0,5.0,Queens,t,1,5,730.0,730,9,t,350,30.0,188.0,f,1.0
t,2.0,Chinatown,0,0.0,Manhattan,t,0,2,31.0,31,5,t,93,7.0,250.0,f,1.0
t,3.0,Tribeca,0,1.0,Manhattan,t,0,1,365.0,365,6,f,245,30.0,500.0,t,1.0
t,1.0,Greenwich Village,0,0.0,Manhattan,t,0,1,365.0,365,3,f,0,30.0,250.0,f,1.0
t,1.0,East Harlem,0,4.0,Manhattan,t,0,5,1125.0,30,2,t,62,30.0,100.0,f,1.0
t,1.0,Harlem,0,5.0,Manhattan,t,2,0,30.0,30,2,f,34,3.0,111.0,f,1.5
f,1.0,Harlem,0,1.0,Manhattan,t,1,0,365.0,365,2,f,365,30.0,125.0,f,1.0
t,1.0,East Village,0,2.0,Manhattan,t,1,1,1125.0,1125,6,t,345,30.0,135.0,f,1.0
t,3.0,Upper West Side,0,1.0,Manhattan,t,0,1,1125.0,1125,6,f,0,30.0,211.0,f,1.0
f,1.0,Midtown,0,1.0,Manhattan,t,0,1,730.0,730,3,f,0,200.0,110.0,f,1.0
t,1.0,East Village,0,1.0,Manhattan,t,0,1,69.0,69,2,f,137,30.0,130.0,f,1.0
t,1.0,Upper West Side,0,1.0,Manhattan,t,0,1,60.0,60,2,f,314,30.0,170.0,f,1.0
t,,East Village,0,0.0,Manhattan,t,0,2,365.0,365,3,f,155,4.0,175.0,f,1.0
t,1.0,Chelsea,0,2.0,Manhattan,t,0,1,62.0,62,2,t,51,30.0,205.0,f,1.0
t,2.0,Greenpoint,0,3.0,Brooklyn,t,0,3,90.0,90,4,f,316,3.0,302.0,f,2.0
t,1.0,Bedford-Stuyvesant,0,2.0,Brooklyn,t,0,2,1125.0,1124,2,f,0,30.0,135.0,f,1.0
t,2.0,East Village,0,0.0,Manhattan,t,0,2,365.0,365,4,f,0,7.0,260.0,f,2.0
t,1.0,Williamsburg,0,4.0,Brooklyn,t,4,0,1125.0,1125,1,f,247,31.0,50.0,f,1.0
t,1.0,East Village,0,1.0,Manhattan,t,0,1,730.0,730,2,f,0,30.0,200.0,f,1.0
t,1.0,Crown Heights,0,1.0,Brooklyn,t,1,0,1125.0,29,2,t,278,3.0,100.0,f,1.0
t,1.0,Crown Heights,0,1.0,Brooklyn,t,1,0,1125.0,182,2,f,306,30.0,75.0,f,1.0
t,1.0,East Village,0,1.0,Manhattan,t,0,1,45.0,45,2,f,41,30.0,105.0,f,1.0
f,1.0,Crown Heights,0,2.0,Brooklyn,t,2,0,365.0,365,3,f,336,30.0,60.0,f,1.0
f,1.0,East Village,0,2.0,Manhattan,t,2,0,1125.0,1125,2,f,2,7.0,60.0,f,1.0
f,2.0,Bedford-Stuyvesant,0,1.0,Brooklyn,t,1,0,30.0,30,3,f,291,5.0,75.0,f,1.5
t,2.0,Nolita,0,3.0,Manhattan,t,0,3,730.0,730,7,t,342,1.0,378.0,f,1.0
t,1.0,Williamsburg,0,1.0,Brooklyn,t,0,1,1125.0,300,2,t,0,10.0,85.0,f,1.0
t,1.0,Williamsburg,0,0.0,Brooklyn,t,0,1,120.0,120,3,f,89,30.0,105.0,f,1.0
t,1.0,Harlem,0,1.0,Manhattan,t,1,0,14.0,14,1,f,306,3.0,75.0,f,1.0
f,2.0,Carroll Gardens,0,1.0,Brooklyn,t,0,1,90.0,90,4,t,306,30.0,190.0,f,1.0
t,,East Village,0,2.0,Manhattan,t,0,1,60.0,60,2,t,55,3.0,326.0,f,1.0
t,2.0,Nolita,0,3.0,Manhattan,t,0,3,1125.0,1125,7,t,341,1.0,470.0,f,1.0
t,2.0,Harlem,0,1.0,Manhattan,t,0,1,1125.0,365,5,f,332,30.0,76.0,f,1.0
t,1.0,Park Slope,0,2.0,Brooklyn,t,0,2,360.0,360,4,f,217,2.0,150.0,f,1.0
t,1.0,Gowanus,0,2.0,Brooklyn,t,0,2,1125.0,270,3,t,285,2.0,190.0,f,1.0
t,1.0,East Harlem,0,1.0,Manhattan,t,0,1,1052.7,365,2,t,268,27.5,117.0,t,1.0
t,1.0,Williamsburg,0,1.0,Brooklyn,t,0,1,89.0,89,4,t,31,30.0,85.0,f,1.0
t,1.0,Harlem,0,1.0,Manhattan,t,1,0,200.0,200,2,t,62,30.0,122.0,f,1.0
t,1.0,Astoria,0,0.0,Queens,f,1,0,730.0,730,1,f,0,30.0,55.0,f,
t,1.0,Upper West Side,0,1.0,Manhattan,t,0,1,200.0,200,2,f,326,15.0,199.0,f,1.0
t,1.0,Greenpoint,0,1.0,Brooklyn,t,1,0,30.0,30,2,f,306,30.0,100.0,f,1.0
t,3.0,Nolita,0,2.0,Manhattan,t,0,1,60.0,60,6,t,227,3.1,595.0,f,1.0
t,1.0,Upper West Side,0,2.0,Manhattan,t,0,1,120.0,120,2,f,25,30.0,150.0,f,1.0
t,1.0,Chinatown,0,1.0,Manhattan,t,0,2,1125.0,1125,2,f,80,25.0,139.0,f,1.0
t,1.0,Greenwich Village,0,2.0,Manhattan,t,0,1,365.0,365,2,t,34,30.0,200.0,f,1.0
t,1.0,Greenpoint,0,2.0,Brooklyn,t,0,1,60.0,60,4,f,0,1.0,229.0,f,1.0
t,1.0,Kingsbridge,0,2.0,Bronx,t,1,1,1125.0,1125,2,f,184,30.0,90.0,f,1.0
t,1.0,Upper West Side,0,1.0,Manhattan,t,0,1,90.0,90,2,f,0,30.0,110.0,f,1.0
t,1.0,Greenpoint,0,1.0,Brooklyn,t,1,0,14.0,14,1,t,16,7.0,85.0,f,1.0
t,1.0,Williamsburg,0,2.0,Brooklyn,t,0,1,1125.0,70,2,f,182,15.0,129.0,f,1.0
t,1.0,East Harlem,0,2.0,Manhattan,t,0,2,365.0,365,3,f,337,30.0,75.0,f,1.0
f,1.0,Hell's Kitchen,0,3.0,Manhattan,t,0,1,365.0,365,5,f,0,30.0,299.0,f,
t,1.0,Astoria,0,1.0,Queens,t,0,1,1125.0,1125,3,f,325,7.0,119.0,f,1.0
f,2.0,Harlem,0,0.0,Manhattan,t,0,1,90.0,90,5,f,90,30.0,149.0,f,1.0
f,1.0,Greenpoint,0,1.0,Brooklyn,t,0,1,730.0,730,3,f,0,30.0,75.0,f,1.0
t,1.0,Lower East Side,0,1.0,Manhattan,t,0,1,1125.0,1125,3,t,337,30.0,150.0,f,1.0
t,1.0,Williamsburg,0,3.0,Brooklyn,t,3,0,365.0,365,2,f,365,28.0,100.0,f,1.0
t,1.0,Greenpoint,0,27.0,Brooklyn,t,9,17,365.0,365,2,f,363,3.0,190.0,f,1.0
t,1.0,East Village,0,1.0,Manhattan,t,1,0,60.0,60,2,t,61,2.0,55.0,f,1.5
t,1.0,Greenpoint,0,27.0,Brooklyn,t,9,17,365.0,365,4,f,130,3.2,313.0,f,1.0
t,1.0,Greenpoint,0,27.0,Brooklyn,t,9,17,365.0,365,4,f,130,3.2,313.0,f,1.0
t,3.0,Park Slope,0,2.0,Brooklyn,t,0,2,1125.0,1125,5,f,216,30.0,69.0,f,1.5
t,1.0,Greenpoint,0,27.0,Brooklyn,t,9,17,365.0,365,4,f,115,3.2,349.0,f,1.0
t,1.0,Brooklyn Heights,0,2.0,Brooklyn,t,1,1,365.0,365,1,t,0,5.8,100.0,f,1.0
t,2.0,Brooklyn Heights,0,2.0,Brooklyn,t,1,1,60.0,60,4,t,121,30.0,200.0,f,1.0
f,1.0,East Village,0,1.0,Manhattan,t,0,1,30.0,30,2,f,353,30.0,135.0,f,1.0
f,2.0,Bedford-Stuyvesant,0,1.0,Brooklyn,t,0,1,365.0,365,5,t,286,30.0,150.0,f,1.0
t,1.0,Bushwick,0,1.0,Brooklyn,t,0,1,60.0,60,3,f,338,30.0,65.0,f,1.0
t,2.0,Fort Greene,0,1.0,Brooklyn,t,0,1,200.0,200,3,f,152,30.0,150.0,f,1.0
t,1.0,East Village,0,1.0,Manhattan,t,0,1,90.0,90,2,f,0,30.0,229.0,f,1.0
t,1.0,Greenpoint,0,27.0,Brooklyn,t,9,17,365.0,365,2,f,364,3.2,190.0,f,1.0
t,1.0,Long Island City,0,1.0,Queens,t,0,1,70.0,70,2,t,39,30.0,104.0,f,1.5
t,2.0,Crown Heights,0,3.0,Brooklyn,t,0,2,365.0,365,4,t,351,30.0,150.0,f,1.0
t,2.0,Bedford-Stuyvesant,0,2.0,Brooklyn,t,0,2,1125.0,1125,5,t,322,2.0,134.0,t,1.0
t,1.0,Crown Heights,0,2.0,Brooklyn,t,0,1,1125.0,14,4,t,89,1.0,100.0,t,1.0
f,2.0,Bedford-Stuyvesant,0,1.0,Brooklyn,t,0,1,150.0,150,6,t,30,2.0,127.0,f,1.0
t,1.0,Crown Heights,0,1.0,Brooklyn,t,0,1,1125.0,182,2,t,304,6.0,130.0,t,1.5
t,1.0,Williamsburg,0,1.0,Brooklyn,t,0,1,365.0,365,2,f,31,7.0,140.0,f,1.0
t,2.0,Bedford-Stuyvesant,0,1.0,Brooklyn,t,0,1,30.0,30,6,f,1,6.0,200.0,f,1.0
t,1.0,Chelsea,0,1.0,Manhattan,t,0,1,60.0,60,2,f,306,30.0,130.0,f,1.0
t,,Fort Greene,0,2.0,Brooklyn,t,0,1,90.0,90,2,t,93,30.0,123.0,f,1.0
t,1.0,Lower East Side,0,2.0,Manhattan,t,0,1,150.0,150,2,f,1,30.0,135.0,f,1.0
t,1.0,Gowanus,0,1.0,Brooklyn,t,0,1,90.0,90,3,t,60,30.0,130.0,f,1.0
t,1.0,Chelsea,0,4.0,Manhattan,t,0,1,270.0,270,2,f,215,30.0,222.0,f,1.0
t,3.0,Williamsburg,0,1.0,Brooklyn,t,1,0,151.0,151,4,f,0,30.0,180.0,f,2.0
t,1.0,Williamsburg,0,1.0,Brooklyn,t,0,1,300.0,300,2,f,347,7.0,298.0,f,1.0
t,2.0,Greenpoint,0,27.0,Brooklyn,t,9,17,365.0,365,6,f,115,3.0,599.0,f,1.0
t,1.0,Harlem,0,2.0,Manhattan,t,1,0,365.0,365,2,f,90,30.0,80.0,f,1.0
t,1.0,Harlem,0,3.0,Manhattan,t,2,0,1125.0,30,1,t,295,5.0,76.0,f,1.5
t,2.0,Bedford-Stuyvesant,0,1.0,Brooklyn,t,0,1,60.0,60,4,t,41,2.4,145.0,f,1.0
t,1.0,Greenpoint,0,3.0,Brooklyn,t,0,3,90.0,90,3,f,318,3.0,196.0,f,1.0
t,,Upper West Side,0,3.0,Manhattan,t,0,1,150.0,150,2,t,292,90.0,165.0,f,1.0
t,2.0,Financial District,0,2.0,Manhattan,t,2,0,300.0,300,3,f,364,45.0,180.0,f,1.5
t,,Chelsea,0,6.0,Manhattan,t,0,1,1125.0,1125,2,t,323,30.0,180.0,f,1.0
t,3.0,Crown Heights,0,1.0,Brooklyn,t,0,1,40.0,40,6,f,303,30.0,165.0,f,1.0
t,1.0,Harlem,0,1.0,Manhattan,t,1,0,730.0,730,2,f,0,30.0,90.0,f,1.0
t,1.0,Fort Greene,0,2.0,Brooklyn,t,2,0,30.0,30,2,f,365,30.0,95.0,f,1.0
t,1.0,Fort Greene,0,1.0,Brooklyn,f,1,0,30.0,30,1,f,0,30.0,90.0,f,1.0
f,1.0,Crown Heights,0,2.0,Brooklyn,t,2,0,730.0,730,2,f,325,30.0,55.0,f,1.0
t,3.0,South Slope,0,3.0,Brooklyn,t,0,3,365.0,365,6,f,343,364.0,235.0,f,2.0
t,1.0,Harlem,0,1.0,Manhattan,t,1,0,365.0,365,1,f,315,30.0,65.0,f,1.0
t,1.0,Astoria,0,1.0,Queens,t,0,1,30.0,30,2,f,3,5.0,85.0,f,1.0
t,,Harlem,0,1.0,Manhattan,t,0,1,730.0,730,4,f,118,30.0,64.0,f,1.0
t,2.0,Bedford-Stuyvesant,0,1.0,Brooklyn,t,0,1,90.0,90,2,t,309,30.0,95.0,f,1.0
t,2.0,Williamsburg,0,1.0,Brooklyn,t,0,1,90.0,90,6,f,58,30.0,250.0,f,1.0
t,2.0,Park Slope,0,2.0,Brooklyn,t,1,1,29.0,29,4,f,87,2.0,165.0,f,2.0
f,,Harlem,0,1.0,Manhattan,t,0,1,1125.0,29,3,t,302,3.0,102.0,t,1.0
t,1.0,Bedford-Stuyvesant,0,2.0,Brooklyn,t,1,1,1125.0,28,2,t,339,3.0,99.0,t,1.0
t,2.0,East Village,0,5.0,Manhattan,t,0,3,28.0,28,9,f,234,2.0,349.0,t,2.0
t,1.0,Upper West Side,0,1.0,Manhattan,t,1,0,730.0,730,1,f,0,30.0,85.0,f,2.0
t,2.0,Gowanus,0,1.0,Brooklyn,t,0,1,60.0,60,4,f,307,30.0,260.0,f,
t,1.0,Forest Hills,0,6.0,Queens,t,1,2,1125.0,360,3,f,224,12.9,110.0,t,1.0
f,1.0,Murray Hill,0,1.0,Manhattan,t,1,0,60.0,60,1,t,122,30.0,68.0,f,1.0
